12-01 22:18 root         INFO     Loaded unit student models

12-01 22:18 root         INFO     Mystery function generated

12-01 22:18 matplotlib.pyplot DEBUG    Loaded backend agg version unknown.
12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05

12-01 22:18 matplotlib.font_manager DEBUG    findfont: score(FontEntry(fname='/home/brentonc/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBol.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335

